"title","link","text"
"面試被問「男乘客拉鍊沒拉」怎麼辦 她妙回征服考官","/news/story/7269/3345347","一名女網友在人力銀行分享自己應徵賣場的面試經驗，對於危機應變很有一套。示意圖／Ingimage分享  facebook   工作面試是令許多應徵者頭痛的一關，現今面試問題也越來越五花八門，但若被主考官問到奇特的問題，就要用多點機智回答。一名女網友分享，日前應徵賣場的工作時，就被面試考官問「公車上有乘客拉鍊沒拉，要怎麼幫他」，當下雖然被問題嚇到，但她急中生智妙回，令主考官折服。

一名女網友日前在人力銀行分享自身經驗，表示自己之前曾去「愛買吉安」百貨合併前身的「吉安」百貨面試，當時面試的主考官卻對她下了難題，問這名網友「如果有天妳在公車上，看到一個剛上車的男乘客，褲檔拉鍊沒拉時，妳要如何幫他？」，當時女網友對這個問題很困惑，但立即想到面試官應該是要測她危機處理的能力。

為了爭取時間，這名女網友先重述題目，以便爭取時間思考問題，還描述情境「我是女生，不方便去提醒他，所以，我該怎麼幫他？怎麼做才能讓他快快拉上拉鍊，而不必丟臉？」。

就在陷入窘境時，女網友突然靈光乍現，妙回面試官「我會大喊，誰的拉鍊沒有拉？」，當時面試官很疑惑質問她為什麼，女網友解釋「因為當下大家都會忙著檢查自己的拉鍊拉上沒，反而沒空管別人的」，沒想到她的回答令面試官聽完發笑，一周後她便接到錄取通知。

被錄取後，這名女網友某天要與法國總公司的主管開會，卻巧遇當時面試的主考官，這名主考官在國外主管面前誇讚她當時的表現，令眾人對她留下深刻的印象。而女網友也有問當時的主考官，他當初設定的「理想的答案」是什麼？沒想到主考官卻表示「我也不知道」，只是他面試當天遇到一名沒拉拉鍊的男乘客，一時想不到法子提醒對方，因此「一直耿耿於懷沒能幫上那名男乘客」。

女網友聽完才恍然大悟，發現有時主考官並沒有預設的理想答案，應試者只要「盡其在我」，誠懇回答就好了。


"
"工作8年想買賓士「裝B」被女友澆冷水 網友：必娶無誤","/news/story/7272/3345463","一名網友在外工作打拼了八年存了一點錢，跟女友透露想要買賓士的念頭，覺得這樣「回老家不用搭火車、回家也比較有面子」，認為是時候晉級「裝B人生」了。沒想到話才說出口立刻被女友打臉，認為買賓士只是讓八年的打拼重新歸零，一點也不實際。被澆了一頭冷水的他上網抱怨，網友們卻一面倒的狂讚女友優秀「必娶」。
在外打拼八年，網友想買台賓士晉級「裝B人生」，卻被女友瘋狂打臉。圖擷自 Mercedes-Benz分享  facebook   
王姓網友在「爆怨公社」上提到「昨晚跟女朋友說想買2019年款的CLA250 ，晉升裝B人生」，不料女友霹哩啪拉的立即回了一串「你上班需要開車嗎？你才月休幾天？你休假常出去嗎？你要裝給誰看？還是你要買來把妹？」，每個問題都相當犀利，還就理財方面進行分析「2百多萬的車，你以為你年收入2百萬嗎？你房子買了嗎？財務跟保險規劃完整了嗎？這幾年存的錢寧願去買車裝B，也不想存錢娶我是嗎？」，接著切入結論「你當我時間多嗎？好阿去買阿！到時為了車省了目前的生活水準，我連我自己都幫你省！」。女友的回應似乎讓他覺得有點委屈，覺得自己只是想討論一下而已「可以說車不用買太好就好了阿..」，也反擊女友「還不是常常買好幾萬的化妝品跟保養品..」。

網友們一致回應「這女生很不錯阿，幫你分析現實面」、「這麼理智不虛榮的女孩太難得了」 , 認為這個女生「是真的愛你」、 「會幫你省錢的女人才是真愛」。還反問發文網友是真的在抱怨嗎，還是「其實是想炫耀有一個好女友」。大家除了針對財務規畫提供意見，也建議「應該先娶她」，覺得女友是「必娶女人，未來一定是好太太」，一定有很多人排隊等著，還有人搞笑回應「不喜歡這種女生可以放生」、「你女朋友我暫時替你照顧，你放心去買阿B吧~」。
"
"墾丁真的蕭條了？大街名店 「迪迪小吃」月底熄燈","/news/story/7266/3345984","超過20年的墾丁大街知名店家「迪迪小吃」只經營到9月底。記者蔣繼平/翻攝分享  facebook   

面臨20年來最嚴重蕭條的墾丁，暑假結束後先傳出大街攤商決定收攤止血，營業20多年被稱墾丁三大名店之一的「迪迪小吃」，突然貼出月底停業公告，引發民眾議論。不過業者回應大環境不好是原因之一，主要還是身體健康狀況不堪負荷，未來還是會再回墾丁。
過去被形容是金雞母的墾丁大街商圈，受到國旅市場萎縮和消費爭議事件影響，人氣大不如前，全盛時期大街約有400個攤商，今年暑假攤商剩一半多，多半在苦撐， 暑假結束後部分攤商決定收攤止血， 部分想等大陸「十一長假」檔期後再收，還有餐飲旅宿業者考慮在年底租約到期認賠出場。
不料，屹立超過20年的指標餐廳「迪迪小吃」，這幾天卻在店門口貼出停業公告，宣布「經整體評估與內部調整，9月30日為最後營業日，感謝所有顧客長久以來的支持與關愛，謝謝！後會有期！」消息一出引起各界討論。
當地民眾說，墾丁大街共有三大名店，包含去年歇業的元老級PUB金灘，還有宣布月底停業的迪迪小吃，只剩下AMY'S CUCINA還在苦撐，真的沒想到衰退這麼快。
迪迪小吃也針對外界傳言進行回應，業者表示，大環境不好只是因素之一，強調是身體健康狀況不佳才會選擇在適當的時間休息，預計一、兩年過後恢復健康，還是會在回到墾丁。
根據墾管處統計，去年遊客人次430萬，與2014年高峰837萬人次相比形同腰斬，也較前年減少41萬人次，今年上半年又較去年同期少21萬人。
有當地餐廳業者說，前年生意算是還好，但去年扣掉人事成本勉強小賠，但今年年初員工薪資差點付不出來，經營壓力越來越大，關店的情況相信未來只會更多。墾丁大街知名店家「迪迪小吃」這幾天貼出月底停業公告。記者蔣繼平/翻攝分享  facebook   "
"每次家庭旅遊都帶婆婆 與夫溝通無效讓她壓力超大！","/news/story/7272/3345686","一名女網友抱怨，每一次家庭旅遊老公都會帶上婆婆，她對此提出意見，卻惹得老公不高興，讓她相當煩惱。示意圖，圖片來源／ingimage分享  facebook   

全家一起出去玩本來是一件開心的事，但若每一次都須帶上婆家親戚，反而可能玩得負擔。一名女網友就抱怨，小至一日遊、大至需要過夜的家庭旅遊，老公每一次都會帶上婆婆，讓她覺得很有負擔。沒想到，這名女網友表達自己的意見後，老公卻很生氣，婆婆也不以為然地表示「每個人看法不同」，讓她覺得相當煩惱。

一名網友在臉書《爆怨公社》上po文表示，她和老公平時因為照顧孩子和工作的緣故分開住，放假則經常會一同出遊。然而，不論是簡單的半日遊，還是需要在外過夜的家庭旅遊，老公都會邀請婆婆一起去，而婆婆也不曾拒絕。原po對此感到有些負擔，因而向老公表達自己的意見，「有時候我會想有我們自己的家庭旅遊，你可能想要陪你媽媽去，但我覺得感覺不一樣、性質也不同」。

沒想到，原po的老公竟因這席話感到不開心，婆婆也出言袒護兒子，「每個人都有每個人看法」，讓原po忍不住抱怨，如果先生只想好好經營他的原生家庭，那就要犧牲與老婆、小孩共組的新家庭。

原po在臉書分享了這段經歷，希望聆聽網友意見，「到底是誰的問題」。對此，許多網友認為原po的想法沒有錯，「我沒辦法接受每次旅遊都有婆婆，次數太頻繁的話，我寧願不去，他們自己去」、「我覺得既然成家了婆婆就要有自知，不用每次都帶上」、「帶媽媽出遊是孝順沒錯，但如果『每次』都帶媽媽出遊是愚孝」、「那妳也帶妳爸媽一起去，讓他感受一下」。
"
"秋天來了 氣象局：未來一周低溫24度","/news/story/7266/3346736","清晨秋天的味道漸浮現，「透早」會有些微的秋意，未來一周各地低溫約24至26度。 圖／聯合報系資料照片分享  facebook   中央氣象局表示，明天清晨西半部地區沿海受到海陸風作用，仍有零星飄雨的機率，各地高溫約在33至36度間，由於天氣晴朗，仍須注意紫外線指數並注意防曬；下午在各地山區、東南部及南部依舊有雷陣雨發展的機率，並且有較大雨勢發生的可能，出門仍須攜帶雨具備用。
此外，今年第21號中度颱風燕子持續朝日本南方海面接近，明後兩天影響到日本附近的天氣，若要前往當地的朋友請留意颱風最新消息。
氣象局表示，周三至周五清晨至上午西半部地區仍有飄雨的機率，隨著水氣漸增，各地大多為多雲、午後有短暫雷陣雨的天氣型態，午後雷陣雨的範圍增廣，也較為明顯，不排除有大雨出現的可能。
氣象局表示，周六至下周一隨著鋒面接近並且影響，東北風稍增強，台灣附近天氣較不穩定，主要降雨情況不侷限於午後，各地整天降雨機率提高，尤其北部及東半部地區下雨的範圍會較多；周日、一除了北部、東半部外，中南部山區也有短暫陣雨出現，其餘地區仍以午後雷陣雨為主。
氣象局表示，溫度方面，清晨秋天的味道漸浮現，「透早」會有些微的秋意，未來一周各地低溫約24至26度，早起活動的朋友請稍加留意，至於白天高溫，周三至五較悶熱，各地在30至34度左右，周六、下周日由於雲量增多、降雨機率也提高，各地高溫下降，約29、30度，感受舒適。"
"助理工作老被拗加班 30歲女問「改當作業員好嗎」","/news/story/7269/3345640","一名私立大學畢業的女生，雖然考上國立碩士班但因科系與志趣不合，選擇不畢業直接進入職場。在做過服務業、辦公室行政與學校行政後，覺得這些工作薪水少又常常被拗，和作業員的工作條件比較之後，覺得作業員的薪水相對較高、工作穩定，轉念認為與其投入漂漂亮亮的工作被累死操死，不如加入作業員的行列。
網友做過職稱漂亮的助理工作後認為「一樣是被工作累死，為何不找薪水高一點的」，想改行當作業員。示意圖，圖片來源／ingimage。分享  facebook   
大學文組畢業的女網友今年三十歲了，之前的助理類工作經驗讓她覺得「總是被拗」, 常常加班卻拿不到加班費，休假時加班也不一定有補休，深深體悟行政、助理的職稱聽起來漂亮，但「其實累死操死薪水不多」，每個月薪水也就兩三萬而已存不了什麼錢。她最近認識的作業員大姊，工作條件固定日班、做二休二，完全依照勞基法給假給薪、加班也一定會有加班費，加上還有員工宿舍、餐廳等福利，即使在業績不好的情況下也能拿到三萬以上的月薪，這些條件讓她動了轉業的念頭。

她在論壇「Mobile 01」上發表「一樣是被工作累死，為何不找薪水高一點的」，覺得自己對投資理財有興趣，從事作業員的工作就能有比較多的時間規畫理財事宜，也能有比較多的薪水進行投資，做二休二的生活還能讓她進修自己有興趣的法律課程。由於對作業員工作內容不太清楚，怕考慮得不夠周全，想請網友們給她意見，同時也想知道作業員的工作有沒有升遷的機會。

網友們紛紛提供自己的看法與建議。有人認為趁年輕多嘗試無妨「現在工作不好找，有工作就先做、存錢最重要。只要肯做錢賺就有」，也有同樣是作業員的網友舉自己為例「我是做2休2的作業員，薪水不多~就3萬，但是一個月只要上班13~15天，我年資15年了還有16天特休」認為輕鬆沒壓力的工作還不錯，「如果是想賺比較多錢，建議找夜班作業員拚加班」。還有人建議「考郵局內勤…可以邊工作邊進修」。

有人認為當技術員當然沒問題「但是應該在背學貸之前就去當」，覺得廣設大學真的害了很多人浪費時間貸款去念書，「唸完只得到一堆債務，還是只能在工作鏈的底層」。也有人建議「文組要苦讀直上公職國營」，所以「做什麼工作都好，有時間唸書」最重要。不少人都覺得「很多作業員薪資福利年收入都遠勝一般上班族，現在已經跟古時候的工廠作業員不一樣了」。
"
"用這招存發票… 除了自動對獎入帳 理財更好用","/news/story/7266/3345052","使用台灣Pay行動支付結帳，索取雲端發票，可自動對獎及中獎主動通知。 圖／聯合報系資料照片分享  facebook   


行動支付多好用，財長告訴你！財政部長蘇建榮說，現在萊爾富等3萬多家店家都可以使用台灣Pay行動支付來結帳，消費後索取雲端發票儲存在雲端，可自動對獎及中獎主動通知，「從頭到尾都沒有紙，非常好用」。



蘇建榮分享，上網透過「電子發票整合服務平臺」，可查詢自己已儲存的雲端發票，不用特別去記帳，透過消費紀錄就可瞭解自己一個月花了多少錢。

分享  facebook   
目前常見的行動支付包括Apple Pay、Samsung Pay、Google Pay、LINE Pay 、Pi行動錢包、歐付寶、台灣Pay等等。



銀行主管建議，生活消費可用「台灣Pay」綁定金融卡付款，帳戶有多少錢，才能刷多少錢，不會產生超刷、透支或動用循環利息的狀況，還有轉帳的功能，學生也可以「掃」。若屬大額消費，想要延遲付款或動用分期或循環利息，還是要刷信用卡，可選擇綁定信用卡的行動支付工具來使用。



另外，行動支付綁定信用卡或金融卡各有不同的優惠好康，可以多加比較。例如華銀與多家大專院校產學合作，即日起與台灣大學、台北大學、淡江大學、致理科大、台北商業大學等五校校園內外指定店家合作，提供華銀支付（台灣Pay）消費立即折抵的專屬優惠。
華南銀行推出「華銀支付立即折抵消費」回饋機制。 圖／華銀提供分享  facebook   
國稅局官員表示，多數行動支付App都可結合電子發票所提供的「手機條碼申請」、「手機條碼設定」、「雲端發票儲存」及「中獎獎金帳號設定」等功能，方便民眾運用行動支付儲存雲端發票，同時享有中獎獎金自動匯入帳戶的好處。



為加速台灣行動支付的普及率，財政部大力推動「台灣Pay行動支付QR Code共通標準」。蘇建榮說，這是「標準」，不是品牌、商品，要讓每個業者都能保有自己的商家和消費者，共同打造台灣共榮、共好的行動支付生態圈。

也就是說，有了統一標準，不管什麼Pay，只要是採用QR code刷條碼的方式來傳輸交易資料，都可以共用同一個QR Code來掃。



目前導入「台灣Pay行動支付QR Code共通標準」的金融機構共有22家，除了8大公股銀行外，另外還有上海商銀、中國信託、台北富邦、王道銀行等14家金融機構，後續將有電子支付業者歐付寶及電子票證業者悠遊卡陸續加入。
「台灣Pay行動支付QR Code共通標準」，悠遊卡也將加入。 圖／聯合報系資料照片分享  facebook   


VISA及Master兩大信用卡國際組織也已響應加入，民眾使用兩大組織的金融卡可繳費、繳稅、購物、轉帳都能一「掃」搞定。

銀行主管表示，台灣Pay以金融卡為首推支付工具，民眾可透過下載「台灣行動支付」App綁定金融卡來感應或掃碼支付，或透過銀行「行動網銀」App中的台灣Pay掃碼支付來消費。台灣Pay預計於今年底接軌國際，與信用卡QR Code整合。"
"別再酸對岸！逢甲出現冒牌一蘭拉麵 網友：台灣最恥辱","/news/story/7270/3345861","逢甲冒牌一蘭拉麵上面註明「代客煮麵加50元」，可能販售一蘭泡麵。圖／摘自逢甲瘋夜市粉絲團分享  facebook   日本一蘭拉麵深受兩岸遊客喜愛，最近在中國大陸出現了山寨版「蘭池」，從商標、店面設計、菜單、餐點等細節，幾乎與一蘭一模一樣。不過，近日有民眾發現逢甲夜市內竟出現了山寨版一蘭拉麵，經總公司證實非一蘭授權或委託商店。消息一出，網友砲轟「非授權，被日本跨洋過海提告，將會是台灣最恥辱」、「大陸還只敢叫蘭池，逢甲就直這麼直接，台灣人不要再酸對岸了。」
有網友在「逢甲瘋夜市」粉絲團發文，發現在逢甲歡樂屋裡，有一間一蘭拉麵進駐，從外觀商標、裝潢都極為相似。據了解，這間一蘭拉麵著名「代客煮麵加50元」，有可能是販售一蘭拉麵的泡麵。
一蘭總公司得知此事後，對外強調該店並非一蘭委託或授權的商店，有關侵權問題，或是後續是否會對逢甲該家「一蘭」業者提告，已與法務部商議中。此外，目前一蘭拉麵僅在台北開設2家店，並提到未來積極與總公司爭取到台中開店。
據了解，逢甲涉及侵權的「一蘭」可能已知道涉及侵權問題，才開店沒幾天就已關店。但消息已經傳出，引發網路熱議，不少網友砲轟，「真不想台灣變中國一樣在搞山寨，降低水準......」、「大陸還只敢叫蘭池，逢甲就直這麼直接，台灣人不要再酸對岸了。」、「非授權，被日本跨洋過海提告，將會是台灣最恥辱」。
目前一蘭拉麵僅在台北開設2家店。圖／本報系資料照分享  facebook   中國大陸日前出現山寨版一蘭拉麵，將店名改為蘭池，但店內裝潢、招牌設計等幾乎與一蘭一模一樣。分享  facebook   "
"今日星座運勢／巨蟹愛情運佳運勢旺 財運佳可投資","/news/story/7268/3338058","圖／ingimage分享  facebook   


總運：★★☆☆☆
愛情：★★☆☆☆
財運：★★☆☆☆
工作：★★★☆☆

貴人星座：處女座
幸運數字：1
吉時吉色：14:00-16:00脆梅青
開運方位：正東方向

運勢提醒：
應避免和對手的硬拚。

綜合運分析：
對愛情有著強烈的渴望，但是心急吃不了熱豆腐，好時機還需耐心等待；沉浸在過去的成功之中，現實的重重阻力擺在面前，不敢付出行動；工作中會出現強勁的競爭對手，但與之硬拚卻難獲得成功，心平氣和於今天才是成功的保證。

愛情運分析：
對愛人顯得挑剔，總希望對方能按照你的意願行事，這未免太主觀，要多為對方著想唷！

事業運分析：
心情起伏不定，遇到複雜點的任務就讓你感到特別煩心，並容易對現有的工作產生不滿。

財運分析：
財運呈現起伏狀，謹慎投資。




總運：★★★☆☆
愛情：★★★☆☆
財運：★★★★☆
工作：★★☆☆☆

貴人星座：雙魚座
幸運數字：4
吉時吉色：15:00-16:00玳瑁棕
開運方位：正北方向

運勢提醒：
要在團隊中找到自己的位置。

綜合運分析：
上班族在今天就別想要逞能獨挑大樑，勉強地孤軍奮鬥只會讓事情更糟糕，還是跟著團體行動比較安全；學生考試運佳，學習態度積極，但要注意不要因粗心而遺漏學習用具；單身者出門前別忘佩戴水晶，它能增強愛情運勢哦。

愛情運分析：
已婚者感情生活平順，不妨多製造浪漫氣氛；單身者約會較多，但想戀愛還需要耐心等待。

事業運分析：
不宜急著向前衝，把規劃做好，再著手實行才會更有勝算。

財運分析：
對於自己熟悉的領域，可以短線進出，創造利上滾利的財富。




總運：★★☆☆☆
愛情：★☆☆☆☆
財運：★★★☆☆
工作：★★☆☆☆

貴人星座：摩羯座
幸運數字：2
吉時吉色：14:00-15:00淺海藍
開運方位：東南方向

運勢提醒：
時運不佳，處處要小心。

綜合運分析：
隱瞞的事情，有要東窗事發的跡象，還是快點向對方坦白從寬吧；財物的頻繁外露，極易招來不善之人的襲擊，造成不小的損失；工作拜訪的過程中，要做好遭到拒絕的心理準備。

愛情運分析：
感情態度特別敏感且急躁，容易動怒或不耐煩，遇到爭執可能會出現不理智的態度喔！

事業運分析：
情緒多變，暴躁易怒，工作上一旦遇到不順就會讓你的情緒變得低落。

財運分析：
認真的經營事業可以緩緩的帶動財運。




總運：★★★★☆
愛情：★★★★☆
財運：★★★★☆
工作：★★★★☆

貴人星座：牡羊座
幸運數字：0
吉時吉色：08:00-10:00白鋼銀
開運方位：西北方向

運勢提醒：
驚喜不斷。

綜合運分析：
對若即若離的感情本已不抱希望，但峰迴路轉，前景越顯明朗。默默做事，未曾刻意表現，可意外地獲得上司的嘉獎。穩紮穩打的投資方式，雖然沒有獲得暴利時的欣喜，但也不會出現極度低落的情景，朝著預定的目標邁進吧！

愛情運分析：
愛情運佳，與伴侶約約會、看看電影都很不錯，會有浪漫甜蜜的感覺。

事業運分析：
運勢旺盛，易有創意表現，是發揮的好時機；在機會面前別猶豫，你會有出色的表現喔！

財運分析：
財運佳，創業者可大膽投資。




總運：★★★☆☆
愛情：★★★★☆
財運：★★★☆☆
工作：★★☆☆☆

貴人星座：金牛座
幸運數字：3
吉時吉色：10:00-11:00桐花白
開運方位：正南方向

運勢提醒：
身邊的同事是你的貴人。

綜合運分析：
工作上遇到困惑，會得到同事的助力。愛好美食者，不妨邀上幾個同事一起去吃飯，順便聊聊工作，促進交流也能提升友誼。談話中還有機會獲得許多有價值的投資信息，不可錯過。

愛情運分析：
愛情運勢良好，適合約會，聊聊彼此的想法；單身者參加聯誼活動戀愛機會多。

事業運分析：
壓力太大，要學會自我放鬆，先制定短期計劃，才能達到預想目標。

財運分析：
財物最好交給貼心人保管！




總運：★★★★★
愛情：★★★★☆
財運：★★★★☆
工作：★★★★☆

貴人星座：天秤座
幸運數字：4
吉時吉色：09:00-11:00白鋼銀
開運方位：西南方向

運勢提醒：
精神良好，活力充沛。

綜合運分析：
今天有得財機會，賺錢輕鬆，還有機會得到金援或收到禮物。學生易對知識衍生出的問題感到困擾，可獲得解答後理解力加深。戀愛中的人渴望獲得戀人的關心，不妨多向對方撒嬌，效果不錯唷！

愛情運分析：
談情說愛的好日子。有心上人嗎？趁今日勇敢示愛吧！

事業運分析：
面對機會和挑戰時，別猶豫不決喔，你的對手可等著乘虛而入呢！

財運分析：
適合花錢取悅自己的一天，不妨趁今日輕輕鬆鬆地犒賞自己，享受一番！財富的獲得需要費點腦力與心力。




總運：★★★☆☆
愛情：★★★☆☆
財運：★★☆☆☆
工作：★★★☆☆

貴人星座：雙魚座
幸運數字：4
吉時吉色：19:00-20:00象牙白
開運方位：正西方向

運勢提醒：
戶外休閒能緩解疲勞。

綜合運分析：
別把自己整天關在家裡，多接觸外面的空氣，只要有往外突破的心，一切自然就開闊了；有伴侶的人士要注意保持與其他異性之間的關係，不要讓另一半誤會；事業運的強勢會在下午來臨，獨立擔當重任讓你過得充實。

愛情運分析：
能以平常的心態去對待感情，避免了許多不必要的爭吵，感情生活趨於平順。

事業運分析：
運勢平順，上班族工作任務較重，但你能靜心處理，你的付出上司也都看在眼裡。

財運分析：
今日的你有點懶惰，耐心也不夠，所以不適合做任何的金錢決策，以免發生錯誤的決定。




總運：★★★★☆
愛情：★★★★☆
財運：★★★★☆
工作：★★★☆☆

貴人星座：雙子座
幸運數字：9
吉時吉色：17:00-18:00古銅青
開運方位：正南方向

運勢提醒：
衝動不是天使，是魔鬼。

綜合運分析：
今天很難控制自己的情緒，易衝動得罪他人，今天還是沉默些好，安分會讓你獲得更多的尊重；愛情要求甚高，對方的一個小舉動都能讓你胡思亂想，愛他就相信他，以免錯失良緣；今天的工作雖然有點麻煩，但是卻能學到寶貴的經驗。

愛情運分析：
已婚者很能瞭解另一半的心思，你的關心與體貼讓對方大為感動，感情升溫快速。

事業運分析：
事業運普通，有點偷懶的心態，挺會摸魚的咧！放慢腳步輕鬆一下無妨，但不要誤了正事喔！

財運分析：
資金周轉靈活的話，不妨嘗試長線投資。




總運：★★☆☆☆
愛情：★★★☆☆
財運：★★★☆☆
工作：★☆☆☆☆

貴人星座：摩羯座
幸運數字：4
吉時吉色：05:00-07:00玉髓紅
開運方位：正北方向

運勢提醒：
處事應多一點耐心。

綜合運分析：
遇到不順會很不耐煩，你會無意間蹦出幾句粗話，小心因此而破壞在異性心目中的好形象。不適合外出拜訪客戶或商談，易吃到閉門羹。購物的時候，參加抽獎，獲得意外驚喜的機率很高。

愛情運分析：
已婚者多為另一半付出，才會獲得更多愛的回饋；單身者易有新奇的愛情體驗。

事業運分析：
事業運不佳，持續力不夠好，而且情緒波動比較大，特別不適合經手與金錢相關的事務。

財運分析：
財運不太妙，若不加以計劃，會有一大筆錢莫名其妙就不知花到哪去了喔！




總運：★★★★☆
愛情：★★★☆☆
財運：★★★☆☆
工作：★★★★☆

貴人星座：射手座
幸運數字：6
吉時吉色：22:00-23:00琉璃銀
開運方位：東北方向

運勢提醒：
愉快的一天。

綜合運分析：
即使你沒有時間，但彼此的心靈相通能讓你度過不錯的一天；小小的花費換來的是大大的開心，買個小禮物送給自己和喜歡的人很值得哦；你提出的建議與對策，易受到上司的採納。

愛情運分析：
活躍的一天，穿得美美帥帥的再出門，因為今天的你特別容易引人注目。

事業運分析：
運勢佳，做起事來感覺很順利，但應多留意細節上的問題，太粗心易失誤！

財運分析：
要多克制自己的購物慾望，以免財務陷入困境唷！




總運：★★★☆☆
愛情：★★★☆☆
財運：★★☆☆☆
工作：★★★☆☆

貴人星座：天蠍座
幸運數字：9
吉時吉色：17:00-18:00嫩芽綠
開運方位：西北方向

運勢提醒：
愉快的心境，做什麼事情都有幹勁。

綜合運分析：
工作雖然比較忙碌，但是心情好，也就感覺不會太累。在心愛的人面前，你會表現得深情款款，對他又細心又體貼，讓雙方的磁場更強勁。投資方面還不宜急於做決定，先蒐集情報，進行合理的分析才能做出有效的判斷。

愛情運分析：
夫妻有角色互換的機會，彼此都能體會到對方的艱辛與不易，感情增強。

事業運分析：
習慣了固定的工作模式，工作進展也還順利，但較難實現突破。若能夠靈活運用，相信將有更好發展。

財運分析：
把重心放在其他事情上面吧，不要在意金錢問題，對於理財上面的小道消息最好經過求證再吸收。




總運：★☆☆☆☆
愛情：★☆☆☆☆
財運：★☆☆☆☆
工作：★★☆☆☆

貴人星座：處女座
幸運數字：2
吉時吉色：11:00-12:00艷棗紅
開運方位：正南方向

運勢提醒：
焦躁的情緒讓你感到不安。

綜合運分析：
今天情緒不太穩定，極易亂發脾氣，若不加以控制，你們的感情將面臨危機；財運還未降臨到你的身邊，把錢放在銀行裡更加穩妥；在工作以外的地方會偶遇同事，一個微笑、一句問候會帶來工作上的好運。

愛情運分析：
外界干擾很多，在心浮氣躁之下，也沒什麼心思去想感情的問題囉！

事業運分析：
事業運略差，工作態度有點脫線，迷迷糊糊之下，小錯誤會接二連三的發生。

財運分析：
財運不佳，得財不順，出現金錢耗損難積存的跡象。生意人恐出現金錢困難，投資者要避免自信莽撞所造成的後遺症。


【延伸閱讀】
●上升星座看未來？星座命盤免費算
●塔羅神占，你的戀情開花結果？
　

【更多命理分析，請前往 科技紫微網】"
"新北登革熱疫情再擴大 土城出現首例","/news/story/7266/3346084","疾管署今公布新增6例本土登革熱病例，台中市4例、新北市2例，新北市累積已到25例，疫情也首度跨出新莊區，擴大到土城區，由於第25例土城區明德里51歲女性，並沒有在新莊區活動的紀錄，還需抽血比對登革熱病毒的基因序列，疾管署和新北市衛生局持續追查感染源。
新北市衛生局表示，今天新增的第24例為新莊區海山里54歲女性，與第25例土城區明德里51歲女性，兩人皆是8月30日出現發燒、頭痛等症狀，經登革熱快篩陽性通報後確診，目前1人住院，1人在家休養，狀態皆穩定。
衛生局初步調查，新莊區新增病例，與第22例的住家，皆鄰近新莊豐年菜園，研判感染與該菜園有關，而土城首例的明德里51歲女性，潛伏期間活動範圍以土城區住家及工作地為主，並沒有去過新莊。
不過衛生局也發現，土城新增病例所開設的公司內，有一名員工住處也鄰近出現登革熱疫情的新莊區豐年菜園，但該名員工並沒有出現任何登革熱症狀，因此還要對土城新增病例抽血檢驗，看看是否與新莊區群聚感染的登革熱病毒同型。
衛生局已將豐年菜園列為高風險區域，除先前8月28日噴消外，今天也再次進行殘效性噴消，並拉起封鎖線封園管制人員進出。衛生局提醒，高風險區域封園期間，民眾切勿進入採收作物，如有拒絕、規避或妨礙緊急防疫作為，最高可罰30萬元罰鍰。新北市今再增2例本土登革熱病例，累積已到25例，疫情也首度跨出新莊區，擴大到土城區，衛生局已將新莊豐年菜園列為高風險區域，今天再次噴藥消毒，圖為噴消資料照。圖／新北市衛生局提供分享  facebook   "
