"title","link","text"
"彭啟明：山竹暴風圈離台灣遠 不必期待颱風假","/news/story/12494/3364709","山竹颱風各國預測路徑。圖擷自天氣與氣候監測網分享  facebook   
山竹颱風13日2時起，颱風七級風暴風圈未來120小時的侵襲機率。圖／擷自中央氣象局官網分享  facebook   天氣風險管理公司總經理彭啟明說，目前各國預測山竹強颱的路徑都相當接近，如果依照這路徑趨勢，七級暴風圈離台灣陸地還有一大段距離，至少一百公里以上，對台灣陸地沒有直接影響，大家不必過於緊張或是還期待會有颱風假，機率可以說是微乎其微。
彭啟明指出，由於太平洋高壓延伸過來的勢力有明顯增強的趨勢，讓山竹往西的路徑，在接近巴士海峽時，不斷的往南修正，往西北的分量明顯減少，可能朝向西北西，就是中心可能在呂宋島東北部登陸，時間點可能在周六的凌晨到清晨時間，然後直接衝往南海。
彭啟明說，原來認為可能接近珠江流域，往港澳附近，但目前山竹明顯偏西，可能往海南島到廣東附近接近，目前23號颱風百里嘉正準備接近登陸雷州半島，下周一又會再來一次山竹，對廣東到海南區域來說，壓力相當大。
他說，有些國家預期山竹颱風會打破燕子颱風的紀錄，不過這都沒有打破 2013年海燕颱風侵襲菲律賓的紀錄，當時達到每秒70公尺以上的風速，登陸時是最巔峰的時候，造成數千名菲律賓人罹難。
雖然山竹直接影響台灣陸地機率低，彭啟明說，但颱風外圍環流，可能在周五下半天將會逐漸接近台灣東半部，明顯的東風風場加上水氣，從新北的東北角到宜蘭花蓮台東或恆春半島，都逐將會有雨勢，最強雨勢時間可能在周五深夜到周六清晨。
他指出，主要是颱風在菲律賓東北登陸時，外圍雲帶也最接近，雨勢可能要會到周日，隨颱風在周六晚上脫離呂宋島後，會明顯減弱。東半部朋友有留意周六上半天雨勢可能會較大，整天都會受到干擾，要留意氣象局可能發布的雨勢預警。
另，風勢在台灣東南部、東部或東北部都會感受較大，要避免周五、六、日的近海活動，容易有大浪或長浪發生。在西半部，較不受到颱風環流直接影響，又有中央山脈阻隔，很有可能發展類似焚風現象，整個西半部溫度可能較高，可能局部高溫會到35-37度，農民能有要特別注意進行預防措施。
氣象局也表示，受颱風或其外圍環流影響，東半部及南部地區有陣雨或雷雨，並且有局部大雨或豪雨發生的機率，其他地區也有局部短暫陣雨或雷雨。東半部高溫稍下降，但是，周六台南以北地區須留意焚風發生；颱風路徑預報仍有不確定性，亦不排除有往北或往南偏移的路徑的機率。"
"太平洋+大西洋共有九個暴風圈 氣候專家：不尋常","/news/story/12494/3365394","牙買加天氣預報Po出一張衛星圖，顯示目前北半球有九個風暴幾乎圍成一圈。圖擷自推特分享  facebook   今年颱風特別多，但這幾天在北半球居然同時出現9個暴風圈。推特上會不斷揭露氣象資訊的牙買加天氣預報（Jamaica Weather）11日PO出一張照片，圖中除了有靠近台灣的山竹颱風外，另外還有8個颱風、颶風和熱帶氣旋連成一線，幾乎已經圍繞地球一圈，令牙買加天氣預報在推特上驚呼「這個周末會很狂」。

根據衛星圖顯示，現今除了百里加颱風、被喻為地表最強的颱風山竹外、另外還有2個熱帶氣旋91W、95L和四個颶風，分別為奧莉維亞、佛羅倫斯、海倫、和薩颶風，加上一個熱帶風暴保羅。根據《NBC》新聞報導，一位在科羅拉多大學研究大氣的專家表示，大西洋與太平洋兩邊的風暴都非常活躍是一件不尋常的事，而且自今年夏天以來，已經有九個颶風出現，比往常出現頻率還高。

超級颱風山竹是今年最強颱，今(13號)上午近中心最大風速達每秒55公尺，不僅追平重創日本的「燕子」颱風，也比將侵襲美東、號稱「怪獸」的四級颶風佛羅倫斯強。被吳德榮形容此時「地表最強風暴」山竹，根據每日郵報(Daily Mail)報導，山竹越來越接近菲律賓，預估會對菲律賓造成約台幣77億的損害，其中包括當地稻子跟玉米等農作物。

目前強颱山竹路徑持續南修，對台灣陸地威脅減輕，但山竹持續「長胖」擴大暴風圈。氣象局預報員吳依帆說，目前各家模式路徑趨於一致，由於太平洋高壓勢力增強，路徑南修，山竹的中心將通過菲律賓呂宋島北部，暴風圈接觸台灣陸地機率較低，但七級暴風圈半徑可能擴大到300公里，明天上半天仍可能發布海警。

"
"山竹對台灣陸地威脅機率降低 吳德榮打臉某專家","/news/story/7266/3364688","
山竹颱風持續接近，中央大學大氣科學系兼任副教授吳德榮在「三立準氣象·老大洩天機」專欄指出山竹的強度是台、日、美各作業中心今年所估計的最強平均風。
上周山竹成颱前，有氣象專家用10天之後的電腦模擬提出嚴重警告。吳德榮說，果不其然，最新的預測山竹已被模式修改為通過呂宋島北端，16日20時在海南島東北方，與6日20時侵襲台灣的模擬位置差了近千公里，證明科技有其極限。他說，「一個瞭解數值預報原理的預報人員，絕不會拿一周以上甚至於10天之後的電腦模擬，就貿然對大眾提出嚴重警告。」
吳德榮表示，今晨氣象局最新(13日2時)估計山竹強度為55公尺/秒(10分鐘平均)，日本(RSMC)亦估計110浬/時(10分鐘平均)，美國(JTWC)則再提高為155浬/時(1分鐘平均)，美國的估計值已超越燕子的強度。他說，由於未來一天半山竹仍將通過弱垂直風切、高海洋熱含量的海域，有增強的趨勢，但因無實測資料，衛星雲圖估計則是主觀的，所以很難說，各作業中心可能就定這麼強了。
吳德榮說，氣象局13日2時路徑潛勢預測圖顯示，山竹路徑稍往南修，中心通過呂宋島北端。周六(15日)距離台灣最近，但對陸地構成威脅的機率已降低。
氣象局表示，第22號颱風山竹預估將於周五晚起至下周日通過巴士海峽，受颱風或其外圍環流影響，東半部及南部地區有陣雨或雷雨，並且有局部大雨或豪雨發生的機率，其他地區也有局部短暫陣雨或雷雨。東半部高溫稍下降，但是，周六台南以北地區須留意焚風發生；颱風路徑預報仍有不確定性，亦不排除有往北或往南偏移的路徑的機率。
下周一颱風逐漸遠離，但台灣附近水氣仍多，南部及花東仍易有短暫陣雨或雷雨，午後其他地區亦有局部短暫雷陣雨，高溫稍上升。

歐洲(ECMWF)模式6日20時的模擬（右）「山竹」16日正在侵襲台灣；但最新(12日20時) 模式模擬則顯示，山竹被模式修改為通過呂宋島北端，兩者位置差了近千公里。圖／擷自「三立準氣象·老大洩天機」專欄分享  facebook   "
"山竹持續「長胖」 周六防大豪雨","/news/story/12494/3365021","強颱山竹後天最靠近台灣，明天可能發布海上警報。圖／翻攝自中央氣象局網站分享  facebook   
強颱山竹路徑持續南修，對台灣陸地威脅減輕，但山竹持續「長胖」擴大暴風圈，明晨發布海上警報機率仍偏高。中央氣象局表示，最快明晚東半部、恆春半島、屏東山區就會出現明顯降雨，後天影響最劇烈，將有豪雨甚至大豪雨，其他地區也有局部降雨。
強颱山竹今晨位於鵝鸞鼻東南東方1400公里海面上，以每小時23公里速度，向西北西進行。近中心最大風速每秒55公尺，瞬間最大陣風每秒68公尺，七級風半徑280公里，十級風半徑120公里。
氣象局預報員吳依帆說，目前各家模式路徑收斂（趨於一致），由於太平洋高壓勢力增強，路徑南修，山竹的中心將通過菲律賓呂宋島北部，暴風圈接觸台灣陸地機率較低，但七級暴風圈半徑可能擴大到300公尺，明天上半天仍可能發布海警。
吳依帆說，山竹周六最接近台灣，明晚開始東半部、恆春半島、屏東山區將出現明顯雨勢，周六一整天有豪雨甚至大豪雨，其他地區也有短暫局部降雨，周日下半天雨勢才會趨緩。另外，明起各地海域都有長浪現象，周六沿海強陣風將達10級以上。
吳依帆提醒，山竹明後天將影響呂宋島天氣，周日至下周一則會撲往香港、澳門及海南島一帶，民眾須留意航班資訊。
中央大學大氣科學系兼任副教授吳德榮說，山竹平均風速已是台日美今年所估計到的最強記錄，美國甚至將山竹平均風速提高為每小時155浬，超越燕子強度，山竹未來一兩天仍將通過弱垂直風切、高海洋熱含量海域，有利持續發展壯大。
雖然山竹接觸台灣本島機率降低，但吳德榮說，山竹一出去就會碰到東沙島，即使當地沒有平民只有駐軍仍須當心，1983年艾倫颱風跟山竹路徑很像，在台灣本島沒引起太大災情，但當時有數艘漁船誤到東沙島，遭遇強烈風雨，造成十幾人嚴重死傷。"
"山竹「長胖」 周五上半天發海警","/news/story/12494/3364423","山竹颱風路徑潛勢預測圖。 圖／氣象局提供分享  facebook   
強颱山竹持續逼近，颱風眼清晰可見，昨近中心最大風速達每秒五十五公尺，追平重創日本的燕子颱風，也比即將襲擊美東、號稱「怪獸」的四級颶風佛羅倫斯強，氣象局預估明天上半天發布海上颱風警報，若山竹持續「長胖」暴風圈擴大，但路徑北偏發布陸上颱風警報的機率降低。
山竹昨晚位在鵝鑾鼻東南東方約一六五○公里海面上，以每小時廿三公里速度向西進行，瞬間最大陣風每秒六十八公尺，相當於十七級風以上，七級風半徑二八○公里，十級風一百公里。
氣象局預報員程川芳表示，目前預估山竹中心會從菲律賓呂宋島北端或近海通過，預估暴風圈會掠過恆春半島近海，南部、東半部將出現大雨或豪雨以上等級，周六降雨最強烈；若山竹路徑往北偏，大台北山區也將有明顯降雨。
"
"被禁止使用蝦皮購物 只因他與民進黨立委同名","/news/story/7266/3364760","黃國書為現任第八屆立法委員，曾任臺中市議員、民進黨第7屆中央評議委員、臺灣醫界聯盟執行祕書、臺中市醫師公會顧問、臺中市體育總會棒球委員會副主任委員。聯合報系資料照分享  facebook   在現代網路購物越來越盛行，但如果帳號被禁用，而且原因是自己的名字與立委同名，一定覺得很衰。根據《蘋果》報導，一名蝦皮使用者因為自己的名字與民進黨立委黃國書同名，被禁止使用蝦皮，只能請親友替他代購，讓網這位使用者直呼「這也太擾民了吧」！

根據蝦皮回覆給「黃國書」信件表示，由於台灣海關新規，與台灣立法委員同名之使用者將無法成立跨境訂單，蝦皮為配合台灣海關之相關規定，若與立委同名的買家需提供報關委任書與身分證ID才能購買跨境商品，但怕因為手續過程冗長，建議黃直接透過親友帳號下訂，或與台灣境內買家購買。

蘋果報導指出，關務署有針對與立委同名的包裹加強抽查作業，若進口包裹被抽到就應備委任書與身分證ID，關務署認為，蝦皮可能怕購買者若與立委同名容易被抽查，之後還要向買家拿相關資料太複雜，因此直接拒接相關的訂單。

網友見到此例都直呼「太扯了」，還有網友表示自己的小學同學也叫「黃國書」，甚至還有網友舉例，表示像林淑芬、黃秀芳、許淑華、陳明文等立委，應該會有不少同名的人。有許多網友表示政府新規很麻煩，抱怨為何與立委同名要遭受如此待遇，但也有其他網友跳出來表示，造成買家不方便與蝦皮的後續處理比較有關。

"
"強颱山竹逼近！周末罕見台南以北有焚風","/news/story/7266/3364677","山竹颱風路徑潛勢預報 圖／中央氣象局分享  facebook   
強颱山竹持續逼近，中央氣象局預估最快明天上半天將發布海上颱風警報，若山竹持續「長胖」暴風圈擴大，或路徑在往北偏靠近陸地，氣象局仍不排除在周五下半天至深夜發布陸上警報，但由於太平洋高壓勢力增強，依目前山竹走向，發布陸上警報機會降低。
根據氣象局昨天晚間8時資料，強颱山竹位在鵝鑾鼻東南東方約1650公里海面上，以每小時23公里速度向西進行，近中心最大風速每秒55公尺，瞬間最大陣風每秒68公尺，7級風半徑280公里，10級風100公里。
氣象局表示，山竹颱風移動速度快，預估接下來將往西北西前進，中心從菲律賓呂宋島北端通過巴士海峽，暴風圈掠過恆春半島近海，南部、東半部會出現大雨或豪雨以上等級，也會出現強陣風，周六影響最明顯。
氣象局原預估若山竹路徑再往北偏，大台北山區也將有明顯降雨，預估下周日下半天雨勢才會緩和。氣象局表示，由於太平洋高壓勢力增強，依照目前颱風速度與路徑，若路徑再往南偏，暴風圈將不會接觸到台灣陸地，發布陸警機會也會降低。
較少見的是，周末受到背風沈降影響，西半部台南以北將會有焚風出現，民眾周末可能會有太乾、太熱的情形，要記得補充水分。
氣象局表示，受到太平洋高壓勢力增強影響，今明兩天天氣回穩，各地大致是上午多雲到晴、午後有局部雷陣雨為主的天氣型態，僅東半部整天偶爾有一點局部短暫陣雨，白天感受較炎熱，各地高溫約31至35度，周五晚上受強颱山竹外圍雲系影響，東半部開始有短暫雨。"
"山竹暴風圈擴大！周六大豪雨襲花東、恆春半島","/news/story/12494/3366438","
強颱山竹持續逼近台灣，根據中央氣象局最新觀測，山竹颱風暴風圈再度「長胖」擴大為300公里。不過由於過去這段時間，山竹颱風路徑持續往南偏移，氣象局預估山竹暴風圈將從台灣近海掠過，若稍往北偏或暴風圈擴大，才有機會在明天上午發布海上颱風警報。
但無論是否發布海警，明晚東半部、恆春半島及屏東山區將有間歇性降雨，後天周六是影響最明顯的期間，將有豪雨甚至超大豪雨出現，周日下半天雨勢才會趨緩。
根據氣象局晚間8時資料，強颱山竹今晚位於鵝鑾鼻東南方1160公里海面上，以每小時21公里速度向西北西進行，近中心最大風速每秒55公尺，瞬間最大陣風每秒68公尺，七級風半徑擴大為300公里，十級風半徑120公里。
氣象局預報員官欣平表示，依照目前山竹颱風路徑來看，暴風圈將從台灣近海「擦邊」而過，若颱風稍微往北偏、或暴風圈擴大，就會發布海上警報，時間點則落在明天上午，但無論是否發布海上警報，各地明天受到沈降影響，各地都是高溫炎熱天氣，午後雷陣雨範圍也縮小。但是到了入夜後，將開始受到颱風外圍環流影響，東半部、恆春半島將有間歇性雨勢。
官欣平表示，強颱山竹影響台灣最明顯的期間是在周六，花東、恆春半島及南部山區將有明顯風雨，甚至達到豪雨或大豪雨程度，北部也會飄雨，反而台南以北地區會有焚風出現。直到周日山竹逐漸遠離後，各地雨勢才會趨緩。另外，明起各地海域都有長浪現象，周六沿海強陣風將達十級以上。山竹颱風路徑潛勢預測圖。圖／氣象局提供分享  facebook   "
"山竹颱風路徑再南修 海警發布機率降低","/news/story/12494/3364759","強颱山竹路徑再稍往南修，中央氣象局預報員吳依帆今天表示，隨著山竹颱風路徑偏南，發布海上颱風警報機率降低，但南部、東部仍會有明顯雨勢。
中央氣象局觀測，今年第22號颱風山竹今天凌晨2時位在鵝鑾鼻東南東方1510公里海面上，持續朝西北西移動，預估明天晚上到15日最接近台灣，由於太平洋高壓增強，路徑有稍往南修。
吳依帆說，隨著山竹颱風路徑南修，除非山竹颱風暴風圈再擴大，否則發布海上颱風警報機率也低，不過，雖然山竹颱風不直接侵台，但受其環流影響，明天入夜起到15日整天，南部、東部仍會有明顯降雨，雨勢可能達到大雨或豪雨等級，西半部山區也會有短暫陣雨，提醒民眾仍要嚴加防範。
吳依帆表示，今、明兩天各地天氣穩定，僅東半部地區有局部短暫陣雨，其他地區中午過後有局部午後雷陣雨的機率，午後雷陣雨以少部份的山區為主，今天西半部高溫約攝氏34、35度，尤其雙北地區及高屏可能有35度以上高溫，東半部高溫約32度。

"
"男賞妻巴掌給40萬元呼呼 網友暴動「拜託打我」","/news/story/7272/3365632","示意圖。女網友被老公呼巴掌，事後給她40萬道歉。圖／ingimage分享  facebook   
夫妻之間難免因意見不合而吵架爭執，情緒爆發時甚至會失控動手打人。日前謝姓女子在臉書社團「爆怨公社」分享，述說她認識一名女網友有天和老公吵架，雙方一言不合，網友老公動手賞了網友一記耳光，事後竟給她40萬元以示歉意，網友看了群起暴動，直呼「拜託打我」。

謝姓女子PO文分享，前陣子認識一名面容姣好、魔鬼身材的女網友，兩人因頗聊得來見過幾次面。女網友還曾因「沒有信用卡，身上帶了25萬元現金」，拜託謝姓女子陪她去101買名牌錶，不過謝女因自卑「只買得起G-Shock和Baby-G」婉拒。日前兩人聊天時，女網友向她說道「老公打了她一巴掌後給她40萬元」，讓謝女瞬間「好羨慕」。

女網友雖然每個月有15萬元零用錢，但老公經常在外拈花惹草，讓她每天神經兮兮找人訴苦，謝姓女子「也被搞得快瘋了」。她不禁無奈表示，「一個月已經有15萬元了，為什麼還是有這些煩惱？」因此發文詢問網友「如果是你，會離婚？還是一個月來一巴掌？或是15萬元家用爽爽過呢？」

網友看了紛紛表示心動羨慕，「問一下老公需不需要小三」、「請問一下挨打巴掌的隊伍排到哪裡了？」，還有人留言「男的也可以嗎？」。不過也有不少網友不能接受被打，認為「有錢不一定快樂，因為心靈空虛」，勸故事中的女網友「慢慢集、集到一定的數就離婚，要不到時候可能有錢沒命花」。
"
